                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4216,                 1.0954,                0.99503,                0.76692,                0.44411,                0.48375,                0.33841,                0.98589,                0.49849,                 1.0205,              0.0033282,              0.0033282,              0.0033282
                      2,                 1.3497,                0.85125,                0.95597,                0.78072,                0.45186,                 0.4486,                0.32291,                0.99957,                0.50298,                 1.0347,              0.0065956,              0.0065956,              0.0065956
                      3,                 1.3778,                0.86335,                0.95555,                0.71293,                0.44599,                0.43723,                 0.3265,                0.99235,                0.55182,                 1.0307,               0.009797,               0.009797,               0.009797
                      4,                 1.3831,                0.86458,                0.96055,                0.42675,                0.54528,                0.48179,                0.33559,                0.97599,                0.51201,                  1.013,               0.009703,               0.009703,               0.009703
                      5,                 1.3401,                0.81836,                0.95453,                 0.6701,                0.43044,                0.43589,                0.31928,                0.97919,                0.53132,                 1.0132,               0.009703,               0.009703,               0.009703
                      6,                 1.2974,                0.79096,                0.94725,                0.71106,                0.45446,                0.45838,                 0.3319,                0.97558,                0.46208,                 1.0231,               0.009604,               0.009604,               0.009604
                      7,                 1.2704,                0.76055,                0.94183,                0.72528,                0.47683,                0.51121,                0.34763,                0.98569,                  0.446,                 1.0157,               0.009505,               0.009505,               0.009505
                      8,                 1.2507,                0.74779,                0.93721,                0.93979,                0.37909,                0.45729,                0.33883,                 1.0151,                0.46708,                 1.0298,               0.009406,               0.009406,               0.009406
                      9,                 1.2355,                0.73346,                0.93468,                0.62111,                0.47222,                0.49994,                0.35049,                0.95859,                0.44291,                 1.0135,               0.009307,               0.009307,               0.009307
                     10,                  1.212,                0.71343,                0.92575,                0.69274,                0.45376,                0.45344,                0.33658,                 1.0079,                 0.4568,                 1.0171,               0.009208,               0.009208,               0.009208
                     11,                 1.2085,                0.70423,                0.92481,                0.92857,                0.39216,                0.42936,                  0.324,                0.96859,                0.43488,                 1.0196,               0.009109,               0.009109,               0.009109
                     12,                 1.1873,                 0.6915,                 0.9209,                0.77158,                0.44562,                0.47424,                0.33989,                0.93633,                0.42865,                 1.0062,                0.00901,                0.00901,                0.00901
                     13,                  1.182,                0.68124,                0.91984,                0.92043,                0.40593,                0.44693,                0.33014,                0.97244,                 0.4215,                 1.0228,               0.008911,               0.008911,               0.008911
                     14,                 1.1721,                0.67201,                0.91489,                 0.8009,                0.46172,                0.49305,                0.34669,                0.93323,                0.41397,                 1.0161,               0.008812,               0.008812,               0.008812
                     15,                 1.1698,                0.67077,                0.91662,                0.59989,                0.44909,                0.48158,                0.34355,                0.95358,                  0.458,                 1.0195,               0.008713,               0.008713,               0.008713
                     16,                 1.1564,                0.66031,                0.91286,                0.66078,                 0.4684,                 0.4884,                0.34344,                0.95401,                0.43862,                 1.0137,               0.008614,               0.008614,               0.008614
                     17,                 1.1473,                 0.6549,                0.91362,                0.64675,                 0.4616,                0.46269,                0.33477,                 0.9636,                0.42656,                 1.0271,               0.008515,               0.008515,               0.008515
                     18,                 1.1439,                0.64919,                0.91074,                0.67578,                0.47622,                0.49561,                 0.3527,                0.90586,                0.40706,                0.99796,               0.008416,               0.008416,               0.008416
                     19,                 1.1429,                0.64676,                0.91055,                0.76781,                0.46515,                0.49184,                0.35321,                0.92291,                0.39185,                 1.0008,               0.008317,               0.008317,               0.008317
                     20,                  1.129,                0.63509,                0.90996,                0.43627,                0.48221,                 0.4662,                0.33482,                0.94044,                0.41591,                 1.0098,               0.008218,               0.008218,               0.008218
                     21,                 1.1283,                0.63269,                0.90597,                0.47815,                0.62356,                0.54975,                0.35359,                0.93324,                 0.4257,                0.99859,               0.008119,               0.008119,               0.008119
                     22,                 1.1236,                0.63192,                0.90501,                  0.676,                0.46328,                0.47119,                0.34227,                0.93423,                0.42021,                 1.0054,                0.00802,                0.00802,                0.00802
                     23,                 1.1204,                0.62307,                0.90386,                0.50598,                0.57569,                0.55838,                0.36975,                0.91037,                0.40114,                 0.9951,               0.007921,               0.007921,               0.007921
                     24,                 1.1193,                0.62505,                 0.9018,                0.65181,                0.47291,                0.45849,                0.32699,                0.96645,                0.42073,                 1.0119,               0.007822,               0.007822,               0.007822
                     25,                 1.1119,                0.61774,                0.90203,                 0.4885,                0.56177,                0.53044,                0.35927,                0.94933,                0.42765,                 1.0091,               0.007723,               0.007723,               0.007723
                     26,                 1.1033,                0.60917,                0.90258,                0.43914,                0.47468,                0.48576,                0.34041,                   0.92,                0.40949,                 1.0087,               0.007624,               0.007624,               0.007624
                     27,                 1.0945,                0.60196,                0.89854,                0.45888,                0.57849,                0.53693,                0.36468,                0.91903,                0.43053,                 1.0057,               0.007525,               0.007525,               0.007525
                     28,                 1.1038,                0.60561,                0.90108,                0.51414,                0.47294,                0.47613,                 0.3298,                0.95193,                0.43457,                  1.009,               0.007426,               0.007426,               0.007426
                     29,                 1.0879,                0.59607,                0.89802,                0.47142,                0.54214,                0.50257,                0.33311,                0.94356,                0.42221,                 1.0126,               0.007327,               0.007327,               0.007327
                     30,                 1.0883,                0.59583,                0.89897,                 0.4294,                0.54853,                 0.5089,                0.35307,                0.94703,                0.41308,                 1.0123,               0.007228,               0.007228,               0.007228
